,playerID,W,L,G,GS,CG,SV,SHO,IPouts,H,ER,HR,BB,SO,BAOpp,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP,Years_Played,HoF,votedBy,IP,ERA,TimeFrame,Name,FinalYear,cluster_label
639,habyajo01,26,24,348,18,0,12,0,1597,537,228,47,186,372,0.2516401124648547,27.0,22,10.0,10,2262.0,98,254,23.0,17.0,50.0,11,0.0,,532.3333333333334,3.854727614276769,1985 - 1996,John Habyan,1996,0
640,mccaski01,106,108,380,242,30,7,11,5187,1748,791,154,665,1003,0.2520547945205479,35.0,72,34.0,9,7405.0,55,876,40.0,45.0,176.0,12,0.0,,1729.0,4.117408906882591,1985 - 1996,Kirk McCaskill,1996,10
641,mcdowro01,70,70,723,2,0,159,0,3150,1045,385,50,410,524,0.2491060786650774,98.0,37,28.0,11,4517.0,430,454,75.0,33.0,132.0,12,0.0,,1050.0,3.3,1985 - 1996,Roger McDowell,1996,3
642,murphro01,32,38,597,0,0,30,0,1870,598,252,54,247,520,0.2423014586709886,41.0,37,5.0,1,2659.0,181,277,37.0,18.0,53.0,11,0.0,,623.3333333333334,3.638502673796791,1985 - 1995,Rob Murphy,1995,0
643,myersra01,44,63,728,12,1,347,0,2654,758,314,69,396,884,0.2221570926143024,43.0,32,12.0,2,3744.0,548,338,50.0,33.0,58.0,14,0.0,,884.6666666666666,3.1944235116804824,1985 - 1998,Randy Myers,1998,0
644,pattebo01,39,40,559,21,0,28,0,1852,619,280,70,180,483,0.2505058680696074,38.0,8,9.0,6,2593.0,175,294,29.0,25.0,40.0,13,0.0,,617.3333333333334,4.082073434125269,1985 - 1998,Bob Patterson,1998,0
645,portuma01,109,95,346,283,16,5,4,5479,1813,817,209,607,1134,0.2486286341195831,27.0,57,36.0,7,7726.0,24,896,78.0,46.0,159.0,15,0.0,,1826.3333333333333,4.026099653221391,1985 - 1999,Mark Portugal,1999,10
646,swiftbi02,94,78,403,220,11,27,4,4799,1688,702,116,507,767,0.2602127331586249,42.0,38,53.0,16,6817.0,67,801,55.0,30.0,235.0,13,0.0,,1599.6666666666667,3.949572827672432,1985 - 1998,Bill Swift,1998,2
647,wegmabi01,81,90,262,216,33,2,4,4448,1567,685,187,352,696,0.2605153782211138,22.0,19,40.0,8,6254.0,19,769,35.0,54.0,132.0,11,0.0,,1482.6666666666667,4.158048561151079,1985 - 1995,Bill Wegman,1995,2
648,worreto01,50,52,617,0,0,256,0,2081,608,238,65,247,628,0.2261063592413536,67.0,23,7.0,7,2893.0,456,264,29.0,28.0,42.0,11,0.0,,693.6666666666666,3.087938491110044,1985 - 1997,Todd Worrell,1997,0
649,assenpa01,61,44,884,1,0,56,0,2567,817,336,73,315,807,0.2414302600472813,78.0,31,22.0,5,3664.0,275,371,59.0,28.0,61.0,14,0.0,,855.6666666666666,3.534086482275029,1986 - 1999,Paul Assenmacher,1999,0
650,bosioch01,94,93,309,246,39,9,9,5130,1742,753,162,481,1059,0.2534924330616996,22.0,61,41.0,9,7225.0,32,835,46.0,59.0,154.0,11,0.0,,1710.0,3.963157894736842,1986 - 1996,Chris Bosio,1996,10
651,brownke01,211,144,486,476,72,0,17,9769,3079,1185,208,901,2397,0.2396481942714819,42.0,108,139.0,15,13542.0,1,1357,95.0,64.0,330.0,19,0.0,,3256.333333333333,3.275156106049749,1986 - 2005,Kevin Brown,2005,1
652,coneda01,194,126,450,419,56,1,22,8696,2504,1115,258,1137,2668,0.2235714285714285,42.0,149,106.0,32,12184.0,9,1222,76.0,82.0,138.0,17,0.0,,2898.6666666666665,3.461936522539099,1986 - 2003,David Cone,2003,6
653,drabedo01,155,134,398,387,53,0,21,7605,2448,1052,246,704,1594,0.243509400179051,56.0,80,53.0,6,10518.0,4,1141,97.0,69.0,177.0,13,0.0,,2535.0,3.7349112426035513,1986 - 1998,Doug Drabek,1998,7
654,finlech01,200,173,524,467,63,0,15,9592,3069,1366,304,1332,2610,0.2423979148566463,36.0,130,76.0,22,13638.0,24,1517,104.0,85.0,305.0,17,0.0,,3197.333333333333,3.845079232693912,1986 - 2002,Chuck Finley,2002,1
655,jacksmi02,62,67,1005,7,0,142,0,3565,983,451,127,464,1006,0.2161389621811785,80.0,39,56.0,27,4966.0,422,492,54.0,41.0,86.0,17,0.0,,1188.3333333333333,3.415708274894811,1986 - 2004,Michael Jackson,2004,3
656,maddugr01,355,227,744,740,109,0,35,15025,4726,1756,353,999,3371,0.2392790238468938,177.0,70,137.0,28,20421.0,3,1981,274.0,119.0,422.0,23,1.0,BBWAA,5008.333333333333,3.1555407653910152,1986 - 2008,Greg Maddux,2008,1
657,maddumi01,39,37,472,48,2,20,1,2585,873,388,67,284,564,0.2524580682475419,40.0,41,32.0,8,3685.0,149,428,39.0,30.0,78.0,15,0.0,,861.6666666666666,4.052611218568665,1986 - 2000,Mike Maddux,2000,0
658,moyerja01,269,209,696,638,33,0,10,12222,4231,1926,522,1155,2441,0.2571567495289613,69.0,57,146.0,12,17356.0,15,2076,146.0,106.0,332.0,25,0.0,,4074.0,4.254786450662739,1986 - 2012,Jamie Moyer,2012,1
659,mulhote01,124,142,685,332,46,5,10,7727,2833,1262,293,681,1325,0.2682765151515151,65.0,64,70.0,3,11060.0,128,1396,133.0,84.0,267.0,20,0.0,,2575.6666666666665,4.409732108192054,1986 - 2006,Terry Mulholland,2006,7
660,plesada01,65,71,1064,14,0,158,0,3216,977,433,105,402,1041,0.2330073932745051,54.0,41,17.0,10,4539.0,422,478,47.0,42.0,68.0,18,0.0,,1072.0,3.6352611940298503,1986 - 2003,Dan Plesac,2003,3
661,plunker01,72,58,714,41,0,35,0,3453,1009,488,122,647,1081,0.2261317794710892,45.0,75,32.0,24,5030.0,234,537,46.0,37.0,87.0,14,0.0,,1151.0,3.815812337098176,1986 - 1999,Eric Plunk,1999,3
662,ruffibr01,60,82,469,152,17,63,3,3804,1345,591,92,565,843,0.2612157700524373,50.0,61,10.0,3,5569.0,160,677,58.0,42.0,138.0,12,0.0,,1268.0,4.194794952681388,1986 - 1997,Bruce Ruffin,1997,2
663,smilejo01,126,103,361,280,28,4,8,5723,1842,806,185,496,1284,0.2434897554527429,32.0,48,39.0,17,7900.0,21,888,101.0,52.0,142.0,12,0.0,,1907.6666666666667,3.802551109557924,1986 - 1997,John Smiley,1997,11
664,swindgr01,123,122,664,269,40,7,12,6700,2313,957,262,501,1542,0.2566293132142461,34.0,30,21.0,12,9301.0,93,1053,94.0,65.0,137.0,17,0.0,,2233.333333333333,3.856567164179104,1986 - 2002,Greg Swindell,2002,5
665,tewksbo01,110,102,302,277,31,1,7,5421,2043,787,142,292,812,0.2737138263665595,22.0,24,41.0,7,7623.0,8,884,94.0,74.0,171.0,13,0.0,,1807.0,3.919756502490316,1986 - 1998,Bob Tewksbury,1998,10
666,willimi02,45,58,619,3,0,192,0,2074,537,280,49,544,660,0.2056683263117579,39.0,44,52.0,24,3119.0,419,317,33.0,30.0,48.0,11,0.0,,691.3333333333334,3.645130183220829,1986 - 1997,Mitch Williams,1997,0
667,wittbo01,142,157,430,397,47,0,11,7395,2493,1324,252,1375,1955,0.252123786407767,37.0,128,39.0,26,11003.0,13,1449,78.0,97.0,216.0,16,0.0,,2465.0,4.834077079107505,1986 - 2001,Bobby Witt,2001,7
668,belchti01,146,140,394,373,42,5,18,7328,2423,1130,264,860,1519,0.2484873346323454,43.0,73,58.0,10,10422.0,13,1253,82.0,73.0,180.0,14,0.0,,2442.6666666666665,4.163482532751092,1987 - 2000,Tim Belcher,2000,8
669,burkejo03,166,136,445,423,21,1,6,7945,2866,1268,257,700,1766,0.265100360743687,59.0,33,90.0,8,11324.0,8,1374,107.0,69.0,224.0,15,0.0,,2648.333333333333,4.309125235997483,1987 - 2003,John Burkett,2003,6
670,glavito02,305,203,682,682,56,0,25,13240,4298,1734,356,1500,2607,0.2450678526627893,145.0,65,66.0,7,18604.0,0,1900,228.0,113.0,420.0,22,1.0,BBWAA,4413.333333333333,3.536102719033233,1987 - 2008,Tom Glavine,2008,1
671,leiteal01,162,132,419,382,16,2,10,7173,2152,1010,198,1163,1974,0.2307774798927614,53.0,63,117.0,20,10334.0,9,1101,109.0,62.0,210.0,19,0.0,,2391.0,3.801756587202008,1987 - 2005,Al Leiter,2005,8
672,mcdowja01,127,87,277,275,62,0,13,5667,1854,809,173,606,1311,0.2465097726366174,29.0,63,48.0,5,7966.0,0,874,61.0,48.0,124.0,12,0.0,,1889.0,3.854420328215988,1987 - 1999,Jack McDowell,1999,11
673,mesajo01,80,109,1022,95,6,321,2,4646,1629,750,151,651,1038,0.259601593625498,57.0,75,55.0,5,6804.0,633,811,64.0,62.0,150.0,19,0.0,,1548.6666666666667,4.358588032716315,1987 - 2007,Jose Mesa,2007,2
674,montgje01,46,52,700,1,0,304,0,2606,785,316,81,296,733,0.2314951341787083,40.0,33,26.0,10,3637.0,549,347,39.0,22.0,68.0,13,0.0,,868.6666666666666,3.273983115886416,1987 - 1999,Jeff Montgomery,1999,0
675,smithpe02,47,71,231,163,12,1,4,3077,1043,518,126,404,640,0.2531553398058252,24.0,29,10.0,27,4423.0,19,557,49.0,40.0,70.0,11,0.0,,1025.6666666666667,4.545336366590835,1987 - 1998,Pete Smith,1998,3
676,wellsda01,239,157,660,489,54,13,12,10317,3635,1578,407,719,2201,0.260536123853211,65.0,101,83.0,17,14413.0,65,1702,106.0,84.0,266.0,21,0.0,,3439.0,4.129688863041582,1987 - 2007,David Wells,2007,1
677,brantje01,43,46,615,18,0,172,0,2578,754,324,105,366,728,0.2262905162064826,51.0,26,27.0,13,3644.0,379,348,43.0,33.0,58.0,14,0.0,,859.3333333333334,3.393328161365399,1988 - 2001,Jeff Brantley,2001,0
678,charlno01,51,54,605,37,1,97,1,2698,798,371,70,409,808,0.2282608695652173,27.0,77,32.0,9,3845.0,280,419,52.0,21.0,79.0,13,0.0,,899.3333333333334,3.7127501853224607,1988 - 2001,Norm Charlton,2001,0
679,cookde01,64,46,665,71,6,9,3,3035,950,440,130,390,739,0.2383939774153074,49.0,23,31.0,16,4298.0,116,486,37.0,38.0,64.0,15,0.0,,1011.6666666666666,3.914332784184514,1988 - 2002,Dennis Cook,2002,3
680,fossato01,17,24,567,0,0,7,0,1247,434,180,39,180,324,0.2581796549672814,36.0,11,10.0,4,1842.0,149,211,27.0,9.0,42.0,12,0.0,,415.6666666666667,3.897353648757017,1988 - 1999,Tony Fossas,1999,0
681,gordoto01,138,126,890,203,18,158,4,6324,1889,927,176,977,1928,0.2300012175818823,57.0,112,38.0,5,9058.0,347,1016,58.0,69.0,163.0,21,0.0,,2108.0,3.957779886148008,1988 - 2009,Tom Gordon,2009,-1
682,hansoer01,89,84,245,238,26,0,5,4666,1604,717,139,504,1175,0.2558213716108453,23.0,71,29.0,6,6630.0,5,776,50.0,45.0,144.0,11,0.0,,1555.3333333333333,4.148949849978568,1988 - 1998,Erik Hanson,1998,2
683,harnipe01,111,103,321,318,24,0,11,5877,1822,846,223,716,1368,0.2366541109234965,38.0,50,49.0,12,8332.0,1,926,74.0,63.0,106.0,14,0.0,,1959.0,3.886676875957121,1988 - 2001,Pete Harnisch,2001,9
684,hillke01,117,109,332,315,19,0,8,5919,1938,891,162,852,1181,0.2466590301641848,43.0,78,47.0,13,8520.0,4,977,90.0,71.0,168.0,14,0.0,,1973.0,4.064368981246832,1988 - 2001,Ken Hill,2001,9
685,johnsra05,303,166,618,603,100,2,37,12406,3346,1513,411,1497,4875,0.212417470797359,37.0,109,190.0,33,17067.0,7,1703,131.0,89.0,251.0,22,1.0,BBWAA,4135.333333333333,3.292842173142028,1988 - 2009,Randy Johnson,2009,1
686,martira02,135,88,301,297,37,0,20,5687,1691,772,170,795,1427,0.2291949037679587,41.0,33,66.0,7,8075.0,1,880,76.0,50.0,116.0,14,0.0,,1895.6666666666667,3.665201336381221,1988 - 2001,Ramon Martinez,2001,-1
687,olsongr01,40,39,622,0,0,217,0,2016,598,258,46,330,588,0.2287681713848508,41.0,43,12.0,7,2889.0,447,275,23.0,20.0,54.0,14,0.0,,672.0,3.455357142857143,1988 - 2001,Gregg Olson,2001,0
688,reedri01,93,76,273,245,14,1,7,4637,1601,692,213,285,970,0.2566527733247836,28.0,11,44.0,5,6407.0,6,748,44.0,37.0,107.0,15,0.0,,1545.6666666666667,4.029329307742074,1988 - 2003,Rick Reed,2003,2
689,schilcu01,216,146,569,436,83,22,20,9783,2998,1253,347,711,3116,0.2345669352945779,43.0,72,52.0,8,13284.0,81,1318,123.0,76.0,193.0,20,0.0,,3261.0,3.4581416743330267,1988 - 2007,Curt Schilling,2007,1
690,servisc01,20,22,338,1,0,16,0,1249,435,231,56,182,413,0.2583135391923991,28.0,25,26.0,1,1853.0,101,245,21.0,25.0,26.0,12,0.0,,416.3333333333333,4.993594875900721,1988 - 2004,Scott Service,2004,0
691,smoltjo01,213,155,723,481,53,154,16,10419,3074,1284,288,1010,3084,0.2278218335433187,84.0,145,57.0,16,14271.0,204,1391,139.0,87.0,244.0,21,1.0,BBWAA,3473.0,3.3273826662827526,1988 - 2009,John Smoltz,2009,1
692,stottto01,138,121,372,339,25,1,6,6575,2200,1042,246,816,1587,0.2507122507122507,49.0,64,83.0,10,9441.0,12,1130,61.0,78.0,138.0,14,0.0,,2191.6666666666665,4.27893536121673,1988 - 2002,Todd Stottlemyre,2002,5
693,alvarwi01,102,92,355,263,12,4,5,5243,1624,769,190,805,1330,0.236493374108053,29.0,28,50.0,4,7518.0,18,857,67.0,43.0,161.0,14,0.0,,1747.6666666666667,3.9601373259584207,1989 - 2005,Wilson Alvarez,2005,10
694,appieke01,169,137,414,402,34,0,12,7786,2425,1078,232,933,1994,0.2374889824698854,51.0,106,79.0,7,10958.0,2,1168,67.0,72.0,207.0,16,0.0,,2595.333333333333,3.738248137683021,1989 - 2004,Kevin Appier,2004,7
695,belinst01,41,37,585,0,0,79,0,2056,590,316,85,285,622,0.2229780801209372,43.0,25,34.0,0,2918.0,263,336,33.0,31.0,36.0,12,0.0,,685.3333333333334,4.149805447470817,1989 - 2000,Stan Belinda,2000,0
696,benesan01,155,139,403,387,21,1,9,7516,2377,1106,289,909,2000,0.2402708986151824,52.0,63,55.0,16,10645.0,6,1206,102.0,74.0,144.0,14,0.0,,2505.333333333333,3.973124002128792,1989 - 2002,Andy Benes,2002,7
697,fettemi01,31,41,620,6,0,100,0,2150,699,307,62,351,518,0.2453492453492453,39.0,57,31.0,4,3140.0,292,360,31.0,28.0,81.0,16,0.0,,716.6666666666666,3.855348837209303,1989 - 2004,Mike Fetters,2004,0
698,gardnma01,99,93,345,275,15,1,8,5294,1752,894,237,628,1256,0.2486517172864036,37.0,29,65.0,13,7540.0,20,960,73.0,66.0,94.0,13,0.0,,1764.6666666666667,4.559501322251605,1989 - 2001,Mark Gardner,2001,10
699,grimsja01,42,58,552,72,3,4,1,2810,954,496,83,498,622,0.2534537725823592,46.0,96,47.0,2,4208.0,127,549,36.0,29.0,110.0,15,0.0,,936.6666666666666,4.765836298932385,1989 - 2006,Jason Grimsley,2006,3
700,guthrma01,51,54,765,43,3,14,1,2936,989,440,101,381,778,0.2519745222929936,53.0,63,22.0,5,4211.0,168,489,54.0,38.0,86.0,15,0.0,,978.6666666666666,4.046321525885559,1989 - 2003,Mark Guthrie,2003,3
701,mcelrch01,38,30,654,7,0,17,0,2218,724,320,66,362,604,0.2460910944935418,46.0,31,11.0,0,3233.0,179,366,28.0,31.0,56.0,13,0.0,,739.3333333333334,3.895401262398557,1989 - 2001,Chuck McElroy,2001,0
702,merckke01,74,67,692,150,2,25,1,3976,1307,612,154,607,917,0.2473973121332576,47.0,55,32.0,15,5792.0,157,676,65.0,46.0,104.0,18,0.0,,1325.3333333333333,4.155935613682093,1989 - 2008,Kent Mercker,2008,2
703,munozmi01,18,20,453,0,0,11,0,1093,408,210,34,174,240,0.2718187874750166,22.0,18,4.0,0,1633.0,109,227,18.0,15.0,51.0,12,0.0,,364.3333333333333,5.187557182067704,1989 - 2000,Mike Munoz,2000,0
704,navarja01,116,126,361,309,32,2,8,6166,2313,1078,214,690,1113,0.2727916027833471,44.0,92,67.0,6,9021.0,16,1206,55.0,88.0,188.0,12,0.0,,2055.333333333333,4.720402205643853,1989 - 2000,Jaime Navarro,2000,4
705,rogerke01,219,156,762,474,36,28,9,9908,3457,1568,339,1175,1968,0.2586606808829031,53.0,79,127.0,23,14280.0,133,1739,94.0,92.0,349.0,20,0.0,,3302.6666666666665,4.272910779168349,1989 - 2008,Kenny Rogers,2008,1
706,seaneru01,41,30,544,0,0,12,0,1698,515,258,58,285,574,0.2327157704473565,28.0,48,15.0,1,2477.0,159,285,19.0,22.0,36.0,17,0.0,,566.0,4.102473498233215,1989 - 2008,Rudy Seanez,2008,0
707,stantmi02,68,63,1178,1,0,84,0,3342,1086,485,93,420,895,0.2452574525745257,76.0,35,33.0,9,4762.0,363,523,53.0,36.0,87.0,19,0.0,,1114.0,3.9183123877917416,1989 - 2007,Mike Stanton,2007,3
708,tapanke01,143,125,361,354,26,0,9,6795,2407,1094,260,554,1482,0.2615735709628342,30.0,44,53.0,6,9600.0,1,1168,80.0,68.0,155.0,13,0.0,,2265.0,4.347019867549669,1989 - 2001,Kevin Tapani,2001,5
709,wettejo01,48,45,618,17,0,330,0,2295,616,249,73,252,804,0.211611130195809,30.0,40,16.0,1,3145.0,523,287,30.0,26.0,38.0,12,0.0,,765.0,2.929411764705882,1989 - 2000,John Wetteland,2000,0
710,abbotpa01,43,37,162,112,1,0,0,2162,682,394,101,393,496,0.2398030942334739,17.0,37,21.0,0,3187.0,17,421,19.0,22.0,51.0,11,0.0,,720.6666666666666,4.920444033302498,1990 - 2004,Paul Abbott,2004,0
711,averyst01,96,83,297,261,14,0,6,4664,1529,723,148,569,980,0.2468916518650089,27.0,47,26.0,9,6609.0,11,800,71.0,47.0,129.0,11,0.0,,1554.6666666666667,4.185463121783877,1990 - 2003,Steve Avery,2003,2
712,blairwi01,60,86,418,139,3,4,0,3822,1438,713,170,415,759,0.2733840304182509,28.0,41,36.0,3,5572.0,75,778,53.0,46.0,103.0,12,0.0,,1274.0,5.036891679748822,1990 - 2001,Willie Blair,2001,2
713,bohanbr01,54,60,304,157,8,2,2,3348,1229,643,142,489,671,0.2685164955210837,25.0,42,58.0,2,4993.0,26,706,48.0,31.0,118.0,12,0.0,,1116.0,5.185483870967742,1990 - 2001,Brian Bohanon,2001,3
714,burbada01,115,87,511,234,6,3,1,5333,1777,886,201,762,1398,0.249929676511955,53.0,75,58.0,4,7749.0,71,961,51.0,55.0,130.0,15,0.0,,1777.6666666666667,4.485655353459591,1990 - 2004,Dave Burba,2004,10
715,ericksc01,142,136,389,364,51,0,17,7082,2586,1203,228,865,1252,0.2674803475382706,32.0,68,103.0,3,10284.0,10,1306,67.0,70.0,316.0,15,0.0,,2360.6666666666665,4.586416266591359,1990 - 2006,Scott Erickson,2006,8
716,hammoch01,66,62,441,136,5,3,3,3371,1163,517,105,387,712,0.2565063961182179,32.0,31,31.0,9,4821.0,67,572,54.0,32.0,109.0,14,0.0,,1123.6666666666667,4.140907742509641,1990 - 2006,Chris Hammond,2006,3
717,holmeda01,35,33,557,6,0,59,0,2040,709,321,63,256,581,0.2579119679883594,36.0,26,15.0,4,2966.0,212,348,36.0,22.0,54.0,13,0.0,,680.0,4.248529411764705,1990 - 2003,Darren Holmes,2003,0
718,leitema01,65,73,335,149,15,26,1,3553,1205,602,155,424,892,0.2532576712904582,43.0,46,75.0,9,5154.0,88,664,59.0,48.0,76.0,11,0.0,,1184.3333333333333,4.57472558401351,1990 - 2001,Mark Leiter,2001,3
719,millsal01,39,32,474,5,0,15,0,1908,577,291,83,395,456,0.2321931589537223,46.0,32,21.0,0,2819.0,153,306,27.0,25.0,61.0,12,0.0,,636.0,4.117924528301887,1990 - 2001,Alan Mills,2001,0
720,nagych01,129,105,318,297,31,0,6,5864,2188,980,217,586,1242,0.2717337307501242,37.0,45,51.0,4,8454.0,9,1061,49.0,55.0,201.0,14,0.0,,1954.6666666666667,4.512278308321965,1990 - 2003,Charles Nagy,2003,9
721,olivaom01,77,86,349,229,16,4,2,4775,1678,826,159,685,853,0.2600340926700759,30.0,46,80.0,7,6966.0,42,889,46.0,53.0,196.0,12,0.0,,1591.6666666666667,4.670575916230367,1990 - 2001,Omar Olivares,2001,2
722,pooleji02,22,12,431,0,0,4,0,1089,376,174,41,156,256,0.2566552901023891,33.0,20,12.0,2,1594.0,87,203,20.0,17.0,38.0,11,0.0,,363.0,4.31404958677686,1990 - 2000,Jim Poole,2000,0
723,radinsc01,42,25,557,0,0,52,0,1445,461,184,33,209,358,0.2418677859391395,29.0,8,12.0,12,2091.0,180,208,26.0,25.0,32.0,11,0.0,,481.6666666666667,3.438062283737024,1990 - 2001,Scott Radinsky,2001,0
724,rodriri02,31,22,609,2,0,8,0,1922,642,271,62,261,396,0.250390015600624,46.0,20,12.0,5,2750.0,146,304,31.0,17.0,71.0,13,0.0,,640.6666666666666,3.806971904266389,1990 - 2003,Rich Rodriguez,2003,0
725,shawje01,34,54,633,19,0,203,0,2544,821,334,91,234,545,0.2439821693907875,44.0,18,25.0,1,3549.0,384,368,37.0,28.0,78.0,12,0.0,,848.0,3.544811320754717,1990 - 2001,Jeff Shaw,2001,0
726,ashbyan01,98,110,309,285,21,1,7,5432,1857,829,205,540,1173,0.2547674578131431,49.0,58,61.0,4,7692.0,10,922,99.0,51.0,170.0,14,0.0,,1810.6666666666667,4.120581737849779,1991 - 2004,Andy Ashby,2004,10
727,beckro01,38,45,704,0,0,286,0,2304,703,282,97,191,644,0.233787828400399,33.0,23,20.0,3,3170.0,519,308,34.0,26.0,40.0,13,0.0,,768.0,3.3046875,1991 - 2004,Rod Beck,2004,0
728,bonesri01,63,82,375,164,11,1,1,3835,1422,689,167,464,564,0.2704964808826327,34.0,36,50.0,6,5634.0,58,754,37.0,54.0,133.0,11,0.0,,1278.3333333333333,4.850847457627119,1991 - 2001,Ricky Bones,2001,2
729,castifr01,82,104,297,268,10,2,3,4786,1660,809,190,506,1101,0.2575240459199504,32.0,33,59.0,9,6871.0,9,878,71.0,46.0,79.0,13,0.0,,1595.3333333333333,4.563936481404095,1991 - 2005,Frank Castillo,2005,2
730,cormirh01,71,64,683,108,7,2,1,3665,1248,547,121,317,760,0.2540199470791777,37.0,39,51.0,4,5157.0,105,604,57.0,32.0,134.0,16,0.0,,1221.6666666666667,4.029740791268758,1991 - 2007,Rheal Cormier,2007,3
731,eldreca01,86,74,341,192,19,9,4,4104,1340,672,173,576,939,0.2461425422483468,17.0,39,50.0,2,5930.0,45,716,40.0,43.0,103.0,14,0.0,,1368.0,4.421052631578948,1991 - 2005,Cal Eldred,2005,2
732,fasseje01,121,124,720,242,17,25,2,6101,2083,929,214,724,1643,0.2545210166177908,50.0,86,37.0,8,8810.0,146,1042,108.0,62.0,144.0,16,0.0,,2033.6666666666667,4.111293230617932,1991 - 2006,Jeff Fassero,2006,9
733,haneych01,38,52,196,125,8,1,4,2474,924,465,94,286,442,0.2719246615656268,10.0,37,31.0,3,3631.0,18,510,22.0,43.0,75.0,11,0.0,,824.6666666666666,5.07477768795473,1991 - 2002,Chris Haney,2002,0
734,henrydo01,34,42,582,0,0,82,0,1997,611,310,83,341,541,0.2342791411042944,42.0,41,17.0,2,2911.0,290,346,32.0,24.0,46.0,11,0.0,,665.6666666666666,4.191286930395593,1991 - 2001,Doug Henry,2001,0
735,hentgpa01,131,112,344,306,34,1,10,6226,2111,996,269,775,1290,0.2532085882211827,29.0,66,49.0,10,8925.0,15,1076,57.0,60.0,171.0,14,0.0,,2075.333333333333,4.319306135560552,1991 - 2004,Pat Hentgen,2004,4
736,hernaro01,67,71,1010,3,0,326,0,3214,1002,411,96,462,945,0.2376660341555977,53.0,50,35.0,1,4632.0,667,475,56.0,21.0,83.0,17,0.0,,1071.3333333333333,3.452706907280648,1991 - 2007,Roberto Hernandez,2007,3
737,kileda01,133,119,359,331,28,0,9,6496,2135,992,214,918,1668,0.2473641524736415,41.0,97,117.0,19,9429.0,8,1099,121.0,75.0,191.0,12,0.0,,2165.333333333333,4.123152709359606,1991 - 2002,Darryl Kile,2002,5
738,magnami01,26,32,484,19,0,3,0,1853,666,280,45,234,347,0.2643906312028583,33.0,26,20.0,4,2696.0,122,317,24.0,34.0,57.0,12,0.0,,617.6666666666666,4.079870480302213,1991 - 2002,Mike Magnante,2002,0
739,manzajo01,13,15,267,1,0,6,0,1026,330,179,46,153,300,0.243362831858407,20.0,16,18.0,0,1502.0,83,198,18.0,18.0,29.0,11,0.0,,342.0,4.7105263157894735,1991 - 2004,Josias Manzanillo,2004,0
740,mussimi01,270,153,537,536,57,0,23,10688,3460,1458,376,785,2813,0.2445575346338705,29.0,71,60.0,1,14593.0,0,1559,90.0,82.0,293.0,18,1.0,,3562.6666666666665,3.6831961077844313,1991 - 2008,Mike Mussina,2008,1
741,neaglde01,124,92,392,286,20,3,7,5671,1887,891,250,594,1415,0.2496692246626091,44.0,47,53.0,6,8031.0,23,948,79.0,55.0,120.0,13,0.0,,1890.3333333333333,4.242108975489332,1991 - 2003,Denny Neagle,2003,11
742,remlimi01,53,55,639,59,4,20,2,2637,784,381,103,430,854,0.2291727565039462,38.0,48,30.0,6,3806.0,110,412,43.0,25.0,70.0,14,0.0,,879.0,3.901023890784983,1991 - 2006,Mike Remlinger,2006,0
743,reynoar02,68,62,198,186,8,1,1,3239,1185,569,138,376,554,0.2678571428571428,34.0,35,60.0,15,4698.0,4,615,48.0,34.0,88.0,12,0.0,,1079.6666666666667,4.743130595862921,1991 - 2002,Armando Reynoso,2002,3
744,rhodear01,87,70,900,61,5,33,3,3563,1033,538,126,516,1152,0.2247606614447345,48.0,43,16.0,3,5007.0,161,560,40.0,34.0,91.0,20,0.0,,1187.6666666666667,4.076901487510525,1991 - 2011,Arthur Rhodes,2011,3
745,schoupe01,66,77,288,176,3,2,1,3447,1198,586,140,420,813,0.2579117330462863,36.0,24,39.0,5,4981.0,27,642,42.0,43.0,82.0,11,0.0,,1149.0,4.590078328981723,1991 - 2001,Pete Schourek,2001,3
746,timlimi01,75,73,1058,4,0,141,0,3613,1168,486,118,377,872,0.2443003555741476,72.0,31,47.0,3,5082.0,467,533,58.0,32.0,122.0,18,0.0,,1204.3333333333333,3.6318848602269584,1991 - 2008,Mike Timlin,2008,3
747,vanpoto01,40,52,359,98,2,4,1,2721,944,562,143,461,711,0.2575716234652114,21.0,47,22.0,7,4049.0,84,587,31.0,30.0,60.0,11,0.0,,907.0,5.576626240352812,1991 - 2004,Todd Van Poppel,2004,3
748,weathda01,73,88,964,69,0,75,0,4129,1432,650,133,604,976,0.2575076425103398,78.0,41,57.0,6,6071.0,304,711,95.0,40.0,144.0,19,0.0,,1376.3333333333333,4.250423831436184,1991 - 2009,David Weathers,2009,2
749,wohlema01,39,29,533,0,0,119,0,1660,490,244,37,272,557,0.227906976744186,30.0,50,13.0,0,2400.0,293,273,34.0,21.0,36.0,12,0.0,,553.3333333333334,3.968674698795181,1991 - 2002,Mark Wohlers,2002,0
750,astacpe01,129,124,392,343,31,0,12,6590,2292,1140,291,726,1664,0.2580499887412745,54.0,59,111.0,18,9472.0,11,1213,96.0,69.0,201.0,15,0.0,,2196.6666666666665,4.670713201820941,1992 - 2006,Pedro Astacio,2006,5
751,batismi01,102,115,658,248,11,41,5,5869,2021,974,194,899,1250,0.256147021546261,58.0,102,79.0,6,8643.0,164,1089,88.0,74.0,205.0,18,0.0,,1956.3333333333333,4.480831487476572,1992 - 2012,Miguel Batista,2012,9
